"Q3.5","Q3.6","Q5.1","Q5.2","Q5.3","Q5.4","Q3.1","region"
9.33333333333333,9.33333333333333,7,7.5,8.66666666666667,3,7,"South Asia"
9,8.75,NA,8.2,6,4,5,"South Asia"
9,9.5,6,9.25,6.5,5,4,"South Asia"
8.75,8.75,2.5,9.25,6.75,4.4,5,"South Asia"
7,8.25,4.66666666666667,6.5,5.8,2.5,4,"South Asia"
5.83333333333333,7,3.5,4.5,7.33333333333333,0.6,5.66666666666667,"Sub-Saharan Africa"
6.6,8.25,2.5,4.66666666666667,7.25,1.75,7,"Sub-Saharan Africa"
6.28571428571429,7,3,5.75,7.4,0.75,5.6,"Sub-Saharan Africa"
8,7.5,5.33333333333333,5.83333333333333,4.8,8,3.5,"Sub-Saharan Africa"
7,7.2,2.5,4.75,7,2.25,5.75,"Sub-Saharan Africa"
7.11111111111111,8.44444444444444,6.55555555555556,5.875,7.7,4.4,5.71428571428571,"Europe & Central Asia"
5.25,7,3.75,3.8,8.375,2.2,2.4,"Europe & Central Asia"
6.8,8.25,4.6,6.75,7.5,3.66666666666667,6,"Europe & Central Asia"
3.5,5.5,5.5,5.33333333333333,4.66666666666667,2,4.28571428571429,"Europe & Central Asia"
7.5,8.66666666666667,6.4,5.85714285714286,7.44444444444444,5,5.375,"Europe & Central Asia"
7.11111111111111,8.125,8.36363636363636,6.66666666666667,5.11111111111111,6.81818181818182,6.4,"Europe & Central Asia"
3.21428571428571,5.46153846153846,6.66666666666667,5.16666666666667,6.8,3.11111111111111,8,"Latin America & Caribbean"
8.91666666666667,8.92857142857143,4.55555555555556,7,2.5,8,3.07692307692308,"Latin America & Caribbean"
8.5,10,4.33333333333333,7,2,8.66666666666667,10,"Latin America & Caribbean"
2.3,3.90909090909091,7.33333333333333,6.66666666666667,7,1.75,6.4,"Latin America & Caribbean"
9,8.33333333333333,6.5,NA,4,NA,10,"Latin America & Caribbean"
8.15384615384615,8.46666666666667,4.4,6.4,2.75,7.66666666666667,6.25,"Latin America & Caribbean"
2.44444444444444,3.85714285714286,5.75,3,4,2.28571428571429,4.1,"Latin America & Caribbean"
5.16666666666667,5.66666666666667,5.4,6,3,5,8.66666666666667,"Latin America & Caribbean"
6.125,5.2,7.25,7,5,5.6,7.75,"Latin America & Caribbean"
6.7,6.22222222222222,3.85714285714286,1.33333333333333,6.66666666666667,3.8,0.9375,"Latin America & Caribbean"
3.66666666666667,5.33333333333333,3.66666666666667,3.33333333333333,5,1.44444444444444,7,"Europe & Central Asia"
8.55555555555556,8.7,1.6,2.09090909090909,5.875,5.22222222222222,5.16666666666667,"Europe & Central Asia"
7.5,8.25,2.6,4.125,4.4,4.5,6.44444444444444,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean"
NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean"
2.63636363636364,4.44444444444444,5.77777777777778,3.55555555555556,2.77777777777778,2.09090909090909,1.85714285714286,"East Asia & Pacific"
2.42857142857143,4.88888888888889,6.75,4.83333333333333,1.9,3,3.5,"East Asia & Pacific"
4.5,4.5,3.66666666666667,2.5,4.2,0.6,2,"East Asia & Pacific"
7.81818181818182,7.81818181818182,5.42857142857143,4.85714285714286,4.77777777777778,2.16666666666667,5,"East Asia & Pacific"
5.1,6.11111111111111,5.25,5.625,1.5,3.75,7.63636363636364,"East Asia & Pacific"
4.81818181818182,5.77777777777778,8,5.88888888888889,1.6,3.55555555555556,7.81818181818182,"East Asia & Pacific"
5.25,6.3,6.28571428571429,5.44444444444444,1.77777777777778,4.3,7.1,"East Asia & Pacific"
3.57142857142857,3.57142857142857,3.25,2.8,3.75,1.25,3.2,"East Asia & Pacific"
6.76923076923077,8.38461538461539,4.84615384615385,5.93333333333333,2.0625,4.25,7.33333333333333,"Europe & Central Asia"
9,9.61111111111111,2.66666666666667,3.2,8.07142857142857,7,7.2,"Europe & Central Asia"
2.25,2.3125,5.4,4,2.55555555555556,1.22222222222222,8.27777777777778,"Europe & Central Asia"
3.77777777777778,5.7,4,3.11111111111111,7.44444444444444,1,2.61538461538462,"Europe & Central Asia"
3.35294117647059,3.75,5.16666666666667,5.35714285714286,2.125,1.93333333333333,3.36842105263158,"Europe & Central Asia"
1.85,2.33333333333333,5.21428571428571,3,1.75,1,2.73684210526316,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
10,10,10,10,0,0,NA,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
10,10,10,10,0,0,0,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
NA,NA,NA,NA,NA,NA,0,"Europe & Central Asia"
5.5,6,0,0,8,1.5,7,"Sub-Saharan Africa"
NA,8,1,0,NA,10,NA,"Sub-Saharan Africa"
2,1.5,NA,NA,0,8,1,"Sub-Saharan Africa"
2.6,3.5,5,7,2.16666666666667,3.625,8,"Europe & Central Asia"
9.25,9.08333333333333,1.66666666666667,1.125,9.33333333333333,6.14285714285714,5.375,"Europe & Central Asia"
3.27272727272727,3.8,5.6,5.66666666666667,2,3.14285714285714,7.25,"Europe & Central Asia"
2.18181818181818,2.8,4.33333333333333,2,2.5,2.2,3.18181818181818,"Europe & Central Asia"
2.77777777777778,3.44444444444444,5.25,NA,2.42857142857143,3.125,3.8,"Europe & Central Asia"
7.85714285714286,7.16666666666667,2.875,6.25,3.75,6.14285714285714,8.27272727272727,"Europe & Central Asia"
2.72727272727273,3.5,5.71428571428571,4.8,2.28571428571429,3,7.75,"Europe & Central Asia"
3.22222222222222,4,5.5,5,2.42857142857143,3.625,2.25,"Europe & Central Asia"
2.44444444444444,3.1,5.5,5,2.57142857142857,3,3.4,"Europe & Central Asia"
8,8.54545454545454,3.33333333333333,1.8,8.875,2.33333333333333,0.666666666666667,"Europe & Central Asia"
NA,NA,7,4,NA,NA,NA,"Sub-Saharan Africa"
4,NA,7,4,NA,4,NA,"Sub-Saharan Africa"
NA,4,7,NA,7,3,8,"Sub-Saharan Africa"
NA,NA,7,NA,8,NA,7,"Sub-Saharan Africa"
8,7,8,NA,7,NA,7,"Sub-Saharan Africa"
7,NA,NA,4,4,4,4,"Sub-Saharan Africa"
7,NA,NA,NA,NA,4,4,"Sub-Saharan Africa"
4,NA,NA,NA,7,NA,NA,"Sub-Saharan Africa"
4,NA,8,4,8,NA,NA,"Sub-Saharan Africa"
NA,NA,7,4,4,NA,4,"Sub-Saharan Africa"
1,3.33333333333333,6,7.5,NA,4,7.5,"Sub-Saharan Africa"
3.5,3.66666666666667,6,7.66666666666667,5,6.33333333333333,3,"Sub-Saharan Africa"
2,3,4,NA,4,NA,NA,"Sub-Saharan Africa"
5,3,8,2,7,2,1,"Sub-Saharan Africa"
1.33333333333333,1.66666666666667,2,3,5.25,1.66666666666667,1.6,"Sub-Saharan Africa"
5.66666666666667,3.33333333333333,4.5,7,8,7,4.66666666666667,"Sub-Saharan Africa"
1,1.5,4,NA,NA,7,7,"Sub-Saharan Africa"
1,0,7,7,7.66666666666667,2,8,"Sub-Saharan Africa"
4.5,1.66666666666667,4.5,3,6,2.33333333333333,2,"Sub-Saharan Africa"
2,3,NA,NA,4,NA,7,"Sub-Saharan Africa"
7.625,9.28571428571429,7.75,8.625,8.4,9.75,3.83333333333333,"South Asia"
5.625,8.71428571428571,9.25,9.5,8,8.4,5.6,"South Asia"
8,9.8,9,8,7.75,10,7.2,"South Asia"
7.85714285714286,8.71428571428571,7.33333333333333,8.42857142857143,7.75,9.71428571428571,6.83333333333333,"South Asia"
8,8.85714285714286,9,10,7.75,9.5,7.85714285714286,"South Asia"
5.42857142857143,6.71428571428571,5,4,6.4,9,5.33333333333333,"South Asia"
6.125,7,5,4.8,6.4,7.5,5.44444444444444,"South Asia"
7.125,7.625,3,2.42857142857143,7.8,3.5,2.66666666666667,"Europe & Central Asia"
6.42857142857143,8,4.125,4.42857142857143,4,7.28571428571429,6,"Europe & Central Asia"
4,5,5.14285714285714,6.2,2.66666666666667,4.75,4.4,"Europe & Central Asia"
9.44444444444444,9.88888888888889,2.625,4.33333333333333,8.85714285714286,7.83333333333333,2.85714285714286,"Europe & Central Asia"
9.5,9.25,2.57142857142857,4.75,9,6,6.6,"Europe & Central Asia"
6,4.5,9,9,6.5,9,3,"Middle East & North Africa"
8,7,10,9,10,10,2,"Middle East & North Africa"
8,7,7,8.5,10,10,2.5,"Middle East & North Africa"
6.33333333333333,6,4,NA,8.5,NA,3,"Latin America & Caribbean"
8,6.66666666666667,8,7,7,7,4,"Latin America & Caribbean"
6,6,5.5,7,NA,7,3,"Latin America & Caribbean"
9.44444444444444,9.44444444444444,6.33333333333333,6,4.6,7.66666666666667,4.28571428571429,"Europe & Central Asia"
5.22222222222222,6.88888888888889,4.28571428571429,6,7.83333333333333,4.66666666666667,2.22222222222222,"Europe & Central Asia"
7.75,8,3.75,3.75,6.75,4.5,4,"Europe & Central Asia"
9,9.22222222222222,5.85714285714286,6.66666666666667,5.5,8,5,"Europe & Central Asia"
1.66666666666667,3.66666666666667,3.83333333333333,2.25,9,3.16666666666667,2.5,"Europe & Central Asia"
8.42857142857143,9.125,4.83333333333333,7,5.5,7,4,"Europe & Central Asia"
7.4,8.6,4.33333333333333,4.25,5.66666666666667,4,3.66666666666667,"Europe & Central Asia"
8.5,9.25,6.4,6.6,5.71428571428571,6.16666666666667,3.5,"Europe & Central Asia"
3.875,6.25,5.33333333333333,6,6.85714285714286,5,2.11111111111111,"Europe & Central Asia"
8,8.33333333333333,3.5,5.66666666666667,6.66666666666667,4.25,5.75,"Europe & Central Asia"
9.66666666666667,8,0.5,1,10,9,0.333333333333333,"Europe & Central Asia"
9.66666666666667,8.33333333333333,0.5,0.5,10,9.5,0,"Europe & Central Asia"
9.33333333333333,8.33333333333333,0,3.5,10,7,1,"Europe & Central Asia"
9,NA,NA,NA,NA,NA,3,"Europe & Central Asia"
9.66666666666667,8.66666666666667,1,1,10,9,0.333333333333333,"Europe & Central Asia"
2.33333333333333,2.5,10,0,3,0.5,8.33333333333333,"Europe & Central Asia"
9,9.5,6.5,4.5,10,5,NA,"Latin America & Caribbean"
8,7.66666666666667,3,3,6,4,5,"Latin America & Caribbean"
NA,7,7,5,3.5,5,7.33333333333333,"Latin America & Caribbean"
5.75,5,4,6.33333333333333,5.5,3,7.6,"Latin America & Caribbean"
7.375,8.42857142857143,3.83333333333333,3.57142857142857,7.4,8.85714285714286,1.75,"Latin America & Caribbean"
3,4.33333333333333,3.8,5,5,2.57142857142857,7.33333333333333,"Latin America & Caribbean"
7.8235294117647,7.64705882352941,6.46153846153846,7.53333333333333,7,6.38461538461539,8.04347826086956,"Latin America & Caribbean"
3.5,4.12,3.41176470588235,4.26086956521739,4.52380952380952,2.26086956521739,2.97058823529412,"Latin America & Caribbean"
4.71428571428571,5.22222222222222,7.68421052631579,8.12,5.57142857142857,3.88,8.51351351351351,"Latin America & Caribbean"
4.39130434782609,4.78260869565217,6.23076923076923,6.14285714285714,4.17647058823529,4.78947368421053,6.1875,"Latin America & Caribbean"
6.27777777777778,6.18181818181818,6.71428571428571,7.65,6.23529411764706,7,8.28571428571429,"Latin America & Caribbean"
7.46153846153846,6.38888888888889,5.93333333333333,7.5625,6.38461538461539,6.38461538461539,8.04545454545454,"Latin America & Caribbean"
3.64,4.54166666666667,7,7,5.53333333333333,3,5.75,"Latin America & Caribbean"
4,4.75,5.92307692307692,6.94444444444444,4.66666666666667,4.53333333333333,6.57894736842105,"Latin America & Caribbean"
8.79411764705882,9.21621621621622,5.04,6.32142857142857,9.25,8.88,8.91666666666667,"Latin America & Caribbean"
3.78571428571429,5.22222222222222,3.19230769230769,2.89285714285714,4.35,2.32,2.43589743589744,"Latin America & Caribbean"
6,7,7.5,4.5,7,3.5,5,"Latin America & Caribbean"
7,7,8,7,7,5.5,7,"Latin America & Caribbean"
4,2,3,4,3.5,4,4,"South Asia"
2,1.33333333333333,4,4,3.66666666666667,4,7,"South Asia"
5.33333333333333,7.25,4.5,5.6,5.5,1.25,5.85714285714286,"Sub-Saharan Africa"
6,6,4.6,7,2.8,3.5,4.66666666666667,"Sub-Saharan Africa"
7.4,9.5,6.2,8,6.6,2.8,4.5,"Sub-Saharan Africa"
3.92857142857143,2.45454545454545,2.72727272727273,2.75,2.44444444444444,2.5,3.41666666666667,"North America"
5.09090909090909,4.5,3.45454545454545,5,2.85714285714286,2.83333333333333,7.14285714285714,"North America"
1.92307692307692,1.63636363636364,5.61538461538461,4.125,1.88888888888889,1.8,2.4375,"North America"
2,1.5,4.45454545454546,7.375,2.07692307692308,1.66666666666667,3.61538461538462,"North America"
2.30769230769231,2.25,3.91666666666667,3.25,2.4,1.55555555555556,2.16666666666667,"North America"
2.85714285714286,2.28571428571429,5.2,2.5,1.42857142857143,2.3,4.75,"Europe & Central Asia"
4.88888888888889,3.75,5.42857142857143,3.55555555555556,2.3,1.16666666666667,7.33333333333333,"Europe & Central Asia"
3.375,2.45454545454545,5.875,1.85714285714286,1.5,2,5.4,"Europe & Central Asia"
3.07142857142857,2.21428571428571,4.9,2.45454545454545,1.42857142857143,2.4,8.3125,"Europe & Central Asia"
2.07142857142857,2,5.58333333333333,2.41666666666667,1.57142857142857,2.2,5.66666666666667,"Europe & Central Asia"
1.54545454545455,2.16666666666667,5.45454545454545,1.63636363636364,1.78571428571429,2.2,2.41176470588235,"Europe & Central Asia"
3.33333333333333,2.63636363636364,3.91666666666667,1.54545454545455,1.57142857142857,2.18181818181818,2.16666666666667,"Europe & Central Asia"
6.90909090909091,4.42857142857143,5.2,2.71428571428571,4,1,0.75,"Europe & Central Asia"
9.05882352941176,9.125,1.6875,0.928571428571428,5.3,2.5,8.11111111111111,"Europe & Central Asia"
9,8.69230769230769,1.54545454545455,1.1,6.375,2,7.3,"Europe & Central Asia"
7.375,7.1,1.875,1.22222222222222,7.66666666666667,2.625,2,"Latin America & Caribbean"
3.72727272727273,4.5,6,7.5,5.28571428571429,5,8.66666666666667,"Latin America & Caribbean"
4,4,3.33333333333333,3.71428571428571,4.42857142857143,3.42857142857143,3.83333333333333,"Latin America & Caribbean"
4,4.6,4.14285714285714,5.375,4.16666666666667,3.875,3.5,"Latin America & Caribbean"
7,4.33333333333333,4.75,3,6.5,2.75,9,"Sub-Saharan Africa"
7.625,8.42857142857143,4.66666666666667,4.16666666666667,6.8,3.6,2.83333333333333,"Sub-Saharan Africa"
3,3.71428571428571,8.5,9.16666666666667,2.6,8.2,7.5,"Sub-Saharan Africa"
5,1,5.66666666666667,5.75,9,3.66666666666667,2.33333333333333,"Sub-Saharan Africa"
3.16666666666667,4,7.75,6,4.2,5.75,3.5,"Sub-Saharan Africa"
6.5,7.33333333333333,4.5,3.5,8,1,8,"Sub-Saharan Africa"
0,1.75,10,8.6,1.66666666666667,9.66666666666667,5,"Sub-Saharan Africa"
5,5.66666666666667,1,3.33333333333333,8.5,1.33333333333333,9,"Sub-Saharan Africa"
1,0,7,9,9.5,3,9,"Sub-Saharan Africa"
2,3,7,10,5.33333333333333,8.5,8,"Sub-Saharan Africa"
4.66666666666667,7.75,1,4,3.5,0,3.66666666666667,"Sub-Saharan Africa"
4.66666666666667,6.33333333333333,5,4.66666666666667,8,2,4.33333333333333,"Sub-Saharan Africa"
1.5,4.66666666666667,5,3.33333333333333,7,5,3.5,"Sub-Saharan Africa"
2,6,9.5,9,6.5,10,3.66666666666667,"Sub-Saharan Africa"
5.5,6.66666666666667,3,2,6.33333333333333,4.66666666666667,8.33333333333333,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
10,10,NA,3,10,10,NA,"Sub-Saharan Africa"
10,10,NA,3,10,10,NA,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
10,10,NA,3,10,10,NA,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
10,10,NA,3,10,NA,NA,"Sub-Saharan Africa"
6,5.66666666666667,1.5,3,9,1.33333333333333,1.33333333333333,"Latin America & Caribbean"
NA,NA,NA,NA,NA,NA,10,"Latin America & Caribbean"
0,3,0,NA,10,0,5.5,"Latin America & Caribbean"
7,6.66666666666667,3.33333333333333,3.33333333333333,6,4,7.5,"Latin America & Caribbean"
1.5,1.5,2,5.33333333333333,5.5,2,4,"Latin America & Caribbean"
7.5,7.33333333333333,2,2.33333333333333,7.33333333333333,8.5,5.75,"Latin America & Caribbean"
4.25,3.66666666666667,1.5,4,9.5,2.66666666666667,2,"Latin America & Caribbean"
9.5,10,1,0,10,NA,10,"Latin America & Caribbean"
6.33333333333333,10,3.33333333333333,5.5,9,4,5,"Latin America & Caribbean"
5,4.33333333333333,2.33333333333333,6.5,6.5,7,7,"Latin America & Caribbean"
10,9.5,9.5,9.5,6,10,3.33333333333333,"Sub-Saharan Africa"
NA,6,5.5,5.5,1,2,7,"Sub-Saharan Africa"
NA,NA,1,1,1,2,4,"Sub-Saharan Africa"
10,10,4.5,4.5,2,0,4,"Sub-Saharan Africa"
4,5.5,6,6,4,7,2.5,"Sub-Saharan Africa"
3,6,9,9.5,7,10,2,"Sub-Saharan Africa"
1,5.5,0,4.5,1,0,0,"Sub-Saharan Africa"
3.5,4,4,6.33333333333333,2.33333333333333,5.5,3,"Sub-Saharan Africa"
6,7,4,7,5.5,3,7,"Sub-Saharan Africa"
6.66666666666667,7,3.5,7,8,2,4,"Sub-Saharan Africa"
4.75,5,6.2,9.5,3,5.5,8.66666666666667,"Sub-Saharan Africa"
8.5,7,2.5,5.33333333333333,9,1,1,"Sub-Saharan Africa"
6.66666666666667,7,3.5,7,7,2,NA,"Sub-Saharan Africa"
5.83333333333333,6.8,5.5,8,8.5,3,6,"Latin America & Caribbean"
2.875,4,2.5,3,5.875,1.66666666666667,1.75,"Latin America & Caribbean"
1.5,3,3,5.6,4.57142857142857,3,4,"Latin America & Caribbean"
6.28571428571429,6.8,7.8,5.8,8.4,3.42857142857143,8.85714285714286,"Latin America & Caribbean"
6.66666666666667,7.33333333333333,6.33333333333333,9.5,8,3.33333333333333,8,"Latin America & Caribbean"
2.8,3.2,5.83333333333333,8.6,3.2,4,6.33333333333333,"Latin America & Caribbean"
8.375,8.14285714285714,6.83333333333333,9,8.16666666666667,4.33333333333333,7.83333333333333,"Latin America & Caribbean"
7.2,7,3.25,8,8.16666666666667,1.75,7.8,"Latin America & Caribbean"
6,6.2,6,8.66666666666667,3,4.375,8.33333333333333,"Latin America & Caribbean"
5.33333333333333,5,3.5,9.66666666666667,6.33333333333333,2,8,"Latin America & Caribbean"
9.25,9.5,9.75,8.33333333333333,1,9.5,0.6,"Latin America & Caribbean"
6.875,6.83333333333333,4,4,4.66666666666667,4,4.33333333333333,"Europe & Central Asia"
6.3,6.3,4.6,6.66666666666667,3,5.25,7.8,"Europe & Central Asia"
4.42857142857143,5.66666666666667,6.2,7.14285714285714,2.5,6.125,8.09090909090909,"Europe & Central Asia"
5.375,5.33333333333333,3.57142857142857,2.85714285714286,5.57142857142857,2.77777777777778,3.6,"Europe & Central Asia"
6.625,6.77777777777778,2.66666666666667,4.66666666666667,4,4,3.55555555555556,"Europe & Central Asia"
9.5,9.5,4,5.83333333333333,9.2,5.75,6.75,"Europe & Central Asia"
3.1,3.44444444444444,4.14285714285714,4.2,3.875,3.28571428571429,2.25,"Europe & Central Asia"
8.85714285714286,8.8,4.57142857142857,4.83333333333333,4.5,4.57142857142857,5.75,"Europe & Central Asia"
8.40740740740741,8.75,2.77272727272727,5.22222222222222,8,8.25,3.83333333333333,"Europe & Central Asia"
3,3.1304347826087,5.6,5.61538461538461,3.17391304347826,2.12,5.2,"Europe & Central Asia"
3.64,3.31818181818182,6.47368421052632,7.35,3.77777777777778,2.45833333333333,7.6551724137931,"Europe & Central Asia"
7.61904761904762,7.45,2.23809523809524,3.76190476190476,6.94736842105263,5.78947368421053,1.62068965517241,"Europe & Central Asia"
2.88235294117647,3.72727272727273,3.76923076923077,2.33333333333333,6.83333333333333,1.36363636363636,6.625,"Europe & Central Asia"
4.16666666666667,4.35294117647059,3.1578947368421,4.06666666666667,3.8421052631579,3.1578947368421,3.20689655172414,"Europe & Central Asia"
9.48275862068965,9.62068965517241,1.95833333333333,1.29166666666667,9.48,7.23809523809524,4.26315789473684,"Europe & Central Asia"
2.57692307692308,2.59090909090909,5.42857142857143,5.4375,3.35,1.33333333333333,7.1764705882353,"Europe & Central Asia"
2.59259259259259,2.86363636363636,7.1875,7,3.26086956521739,1.28,7.92592592592593,"Europe & Central Asia"
2.30769230769231,2.3,4.5,2.54545454545455,2.4,1.69230769230769,2.63636363636364,"Europe & Central Asia"
9.46666666666667,9.76923076923077,1.66666666666667,2.16666666666667,9.21428571428571,7,6.875,"Europe & Central Asia"
2.61538461538462,2.90909090909091,4.85714285714286,7,2.30769230769231,2.25,6.90909090909091,"Europe & Central Asia"
6,5.18181818181818,3.2,4.75,2.46153846153846,2.27272727272727,6.41666666666667,"Europe & Central Asia"
3.375,3.875,5.85714285714286,5.75,2.63636363636364,1.76923076923077,8,"Europe & Central Asia"
2.57142857142857,2.81818181818182,2.6,3.2,2.30769230769231,2.16666666666667,3.42857142857143,"Europe & Central Asia"
5.66666666666667,5.18181818181818,2.66666666666667,2.41666666666667,4.22222222222222,2.33333333333333,1.57894736842105,"Europe & Central Asia"
10,10,0,0,NA,0,0,"Middle East & North Africa"
4,NA,0,NA,NA,NA,0,"Middle East & North Africa"
0,NA,0,NA,1,10,0,"Middle East & North Africa"
3.83333333333333,4.66666666666667,4.66666666666667,3.83333333333333,2.85714285714286,1.75,3.2,"Europe & Central Asia"
3,4,6,5.75,2.16666666666667,3.5,9,"Europe & Central Asia"
4.44444444444444,5,4,6,2.42857142857143,6,7.14285714285714,"Europe & Central Asia"
8.66666666666667,8.44444444444444,1.625,2.83333333333333,3.16666666666667,3.8,4,"Europe & Central Asia"
4.66666666666667,5,3.33333333333333,5,2.42857142857143,6.33333333333333,7,"Europe & Central Asia"
5.57142857142857,5.625,6.6,4.8,2,3.25,8.7,"Europe & Central Asia"
1.9,3.875,6.83333333333333,7,2.57142857142857,4.5,6,"Europe & Central Asia"
5.44444444444444,4.88888888888889,3.66666666666667,6,2.42857142857143,5.66666666666667,3.33333333333333,"Europe & Central Asia"
2.5,4,4,5.5,2.42857142857143,4,2.33333333333333,"Europe & Central Asia"
5.22222222222222,4.75,4.66666666666667,4,2.5,1.5,1.25,"Europe & Central Asia"
